,Movie,Production Budget,Domestic Gross,Worldwide Gross,Profit,ROI,Year,nameYear
4687,torn curtain,3000000,13000000,13000000,10000000,4.333333333333333,1966,torn curtain1966
5128,batman  the movie,1377800,0,0,-1377800,0.0,1966,batman  the movie1966
4568,a man for all seasons,3900000,28350000,28350000,24450000,7.269230769230769,1966,a man for all seasons1966
4602,harper,3500000,12000000,12000000,8500000,3.4285714285714284,1966,harper1966
4993,a funny thing happened on the way to the forum,2000000,0,0,-2000000,0.0,1966,a funny thing happened on the way to the forum1966
4768,point blank,3000000,0,0,-3000000,0.0,1967,point blank1967
5409,per qualche dollaro in piã¹,600000,4300000,4300000,3700000,7.166666666666667,1967,per qualche dollaro in piã¹1967
3753,you only live twice,9500000,43100000,111600000,102100000,11.74736842105263,1967,you only live twice1967
4599,in cold blood,3500000,13000000,13007551,9507551,3.716443142857143,1967,in cold blood1967
5616,per un pugno di dollari,200000,3500000,3516248,3316248,17.58124,1967,per un pugno di dollari1967
5163,il buono il brutto il cattivo,1200000,6100000,6100000,4900000,5.083333333333333,1967,il buono il brutto il cattivo1967
4890,in the heat of the night,2000000,24379978,24407647,22407647,12.2038235,1967,in the heat of the night1967
3381,casino royale,12000000,22744718,41744718,29744718,3.4787265,1967,casino royale1967
3821,barbarella,9000000,0,0,-9000000,0.0,1968,barbarella1968
5118,shalako,1455000,2620000,2620000,1165000,1.8006872852233677,1968,shalako1968
4652,rosemarys baby,3200000,33395426,33395426,30195426,10.436070625,1968,rosemarys baby1968
5386,la mariãe ãtait en noir,747000,44566,44566,-702434,0.05965997322623828,1968,la mariãe ãtait en noir1968
4198,planet of the apes,5800000,33395426,33395426,27595426,5.757832068965517,1968,planet of the apes1968
5676,night of the living dead,114000,12087064,30087064,29973064,263.9216140350877,1968,night of the living dead1968
3563,oliver,10000000,37402877,37402877,27402877,3.7402877,1968,oliver1968
3526,2001 a space odyssey,10500000,59936321,71928046,61428046,6.850290095238095,1968,2001 a space odyssey1968
5021,hang em high,1800000,6800000,6800000,5000000,3.7777777777777777,1968,hang em high1968
2344,hello dolly,24000000,33208099,33208099,9208099,1.3836707916666666,1969,hello dolly1969
4174,the wild bunch,6000000,509424,509424,-5490576,0.084904,1969,the wild bunch1969
5612,the stewardesses,200000,13500000,25000000,24800000,125.0,1969,the stewardesses1969
4584,midnight cowboy,3600000,44785053,44785053,41185053,12.4402925,1969,midnight cowboy1969
2658,sweet charity,20000000,8000000,8000000,-12000000,0.4,1969,sweet charity1969
4509,topaz,4000000,6000000,6000000,2000000,1.5,1969,topaz1969
4115,butch cassidy and the sundance kid,6000000,102308900,102310653,96310653,17.0517755,1969,butch cassidy and the sundance kid1969
4333,once upon a time in the west,5000000,5321508,5378425,378425,1.075685,1969,once upon a time in the west1969
2563,paint your wagon,20000000,31678778,31678778,11678778,1.5839389,1969,paint your wagon1969
3880,on her majestys secret service,8000000,22800000,82000000,74000000,10.25,1969,on her majestys secret service1969
4580,the ballad of cable hogue,3716946,3500000,5000000,1283054,1.3451903794136368,1970,the ballad of cable hogue1970
3506,the molly maguires,11000000,2200000,2200000,-8800000,0.2,1970,the molly maguires1970
4588,mash,3500000,81600000,81600000,78100000,23.314285714285713,1970,mash1970
2233,tora tora tora,25000000,29548291,29548291,4548291,1.18193164,1970,tora tora tora1970
5407,woodstock,600000,34505110,34505110,33905110,57.508516666666665,1970,woodstock1970
4682,beneath the planet of the apes,3000000,17489009,17489009,14489009,5.829669666666667,1970,beneath the planet of the apes1970
5226,beyond the valley of the dolls,1000000,9000000,9000000,8000000,9.0,1970,beyond the valley of the dolls1970
2798,catch22,18000000,24911670,24911670,6911670,1.3839816666666667,1970,catch221970
2445,darling lili,22000000,5000000,5000000,-17000000,0.22727272727272727,1970,darling lili1970
3356,patton,12000000,62500000,62500000,50500000,5.208333333333333,1970,patton1970
2327,waterloo,25000000,0,0,-25000000,0.0,1970,waterloo1970
4819,escape from the planet of the apes,2500000,12300000,12300000,9800000,4.92,1971,escape from the planet of the apes1971
4980,bananas,2000000,0,0,-2000000,0.0,1971,bananas1971
5357,billy jack,800000,98000000,98000000,97200000,122.5,1971,billy jack1971
4870,the french connection,2200000,41158757,41158757,38958757,18.70852590909091,1971,the french connection1971
4715,willy wonka  the chocolate factory,3000000,4000000,4000000,1000000,1.3333333333333333,1971,willy wonka  the chocolate factory1971
4092,the andromeda strain,6500000,12376563,12376563,5876563,1.9040866153846154,1971,the andromeda strain1971
3982,diamonds are forever,7200000,43800000,116000000,108800000,16.11111111111111,1971,diamonds are forever1971
5655,sweet sweetbacks baad asssss song,150000,15200000,15200000,15050000,101.33333333333333,1971,sweet sweetbacks baad asssss song1971
3769,fiddler on the roof,9000000,80500000,80500000,71500000,8.944444444444445,1971,fiddler on the roof1971
4892,everything you always wanted to know,2000000,18016290,18016290,16016290,9.008145,1972,everything you always wanted to know1972
3986,the godfather,7000000,134966411,268500000,261500000,38.357142857142854,1972,the godfather1972
4601,frenzy,3500000,12600000,12600000,9100000,3.6,1972,frenzy1972
5040,conquest of the planet of the apes,1700000,9700000,9700000,8000000,5.705882352941177,1972,conquest of the planet of the apes1972
