,Unnamed: 0_x,tconst,primary_title,original_title,start_year,runtime_minutes,genres,Action,Crime,Drama,Biography,Comedy,Fantasy,Horror,Thriller,Adventure,Animation,Documentary,History,Mystery,Science Fiction,Romance,Family,War,Music,Sport,Western,Musical,Adult,News,Link,start_year_str,Unnamed: 0_y,Title,Studio,Domestic Gross_x,Foreign Gross,Year_x,Clean Title,Unnamed: 0_x,Average Rating,Number of Votes,Unnamed: 0_y,Movie,Production Budget,Domestic Gross_y,Worldwide Gross,Profit,ROI,Year_y,nameYear
29,190,tt0478970,Ant-Man,Ant-Man,2015,117.0,"Action,Adventure,Comedy",True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,antman2015,2015,1885,Ant-Man,BV,180200000.0,339100000,2015,antman,68832,7.3,501213,242,antman,130000000,180202163,518858449,388858449,3.9912188384615375,2015,antman2015
30,194,tt0479997,Season of the Witch,Season of the Witch,2011,95.0,"Action,Adventure,Fantasy",True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,season of the witch2011,2011,402,Season of the Witch,Rela.,24800000.0,66800000,2011,season of the witch,8689,5.4,85777,1488,season of the witch,40000000,24827228,91126600,51126600,2.278165,2011,season of the witch2011
31,196,tt0480255,The Losers,The Losers,2010,97.0,"Action,Adventure,Crime",True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,the losers2010,2010,132,The Losers,WB,23600000.0,5800000,2010,the losers,54753,6.4,83876,2243,the losers,25000000,23591432,29863840,4863840,1.1945536,2010,the losers2010
32,197,tt0480687,Hall Pass,Hall Pass,2011,105.0,"Comedy,Romance",False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,hall pass2011,2011,407,Hall Pass,WB (NL),45100000.0,38100000,2011,hall pass,25701,5.9,113775,756,hall pass,68000000,45060734,87173475,19173475,1.2819628676470591,2011,hall pass2011
33,199,tt0481499,The Croods,The Croods,2013,98.0,"Action,Adventure,Animation",True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,the croods2013,2013,1137,The Croods,Fox,187200000.0,400000000,2013,the croods,1148,7.2,176699,225,the croods,135000000,187168425,573068425,438068425,4.244951296296296,2013,the croods2013
34,209,tt0485985,Red Tails,Red Tails,2012,125.0,"Action,Adventure,Drama",True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,red tails2012,2012,827,Red Tails,Fox,49900000.0,489000,2012,red tails,21277,5.9,31815,960,red tails,58000000,49876377,50365498,-7634502,0.8683706551724137,2012,red tails2012
35,213,tt0490215,Silence,Silence,2016,161.0,"Adventure,Drama,History",False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,silence2016,2016,2461,Silence,Par.,7100000.0,16600000,2016,silence,31898,7.2,85242,1241,silence,46500000,7100177,23726626,-22773374,0.5102500215053763,2016,silence2016
36,216,tt0491152,Something Borrowed,Something Borrowed,2011,112.0,"Comedy,Drama,Romance",False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,something borrowed2011,2011,425,Something Borrowed,WB,39000000.0,21100000,2011,something borrowed,21279,5.9,54314,1671,something borrowed,35000000,39046489,65084116,30084116,1.8595461714285717,2011,something borrowed2011
37,218,tt0491203,Tulip Fever,Tulip Fever,2017,105.0,"Drama,History,Romance",False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,tulip fever2017,2017,2918,Tulip Fever,Wein.,2500000.0,5900000,2017,tulip fever,16099,6.2,15037,2307,tulip fever,25000000,2455635,6792768,-18207232,0.27171072,2017,tulip fever2017
38,219,tt0492389,Furry Vengeance,Furry Vengeance,2010,92.0,"Comedy,Family",False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,furry vengeance2010,2010,123,Furry Vengeance,Sum.,17600000.0,18600000,2010,furry vengeance,2230,3.8,14700,1716,furry vengeance,35000000,17630465,39340177,4340177,1.1240050571428568,2010,furry vengeance2010
