,Unnamed: 0,Genre_Ids,Id,Original_Language,Original_Title,Popularity,Release_Date,Title,Vote_Average,Vote_Count,Clean Title,Year,Link
56,56,"[35, 16, 10751]",9994,en,The Great Mouse Detective,13.347999999999999,1986-07-02,The Great Mouse Detective,7.1,769,the great mouse detective,1986,the great mouse detective1986
57,57,"[14, 18]",7980,en,The Lovely Bones,13.285,2010-01-15,The Lovely Bones,6.8,2226,the lovely bones,2010,the lovely bones2010
58,58,[18],705,en,All About Eve,13.163,2000-10-06,All About Eve,8.2,685,all about eve,2000,all about eve2000
59,59,"[18, 12, 37]",44264,en,True Grit,13.118,2010-12-22,True Grit,7.2,2816,true grit,2010,true grit2010
60,60,"[53, 80, 27]",43947,en,I Spit on Your Grave,13.102,2010-10-08,I Spit on Your Grave,6.3,977,i spit on your grave,2010,i spit on your grave2010
61,61,"[28, 80]",23483,en,Kick-Ass,13.08,2010-04-16,Kick-Ass,7.1,7540,kickass,2010,kickass2010
62,62,"[35, 878, 16]",51888,en,Robot Chicken: Star Wars Episode III,13.062000000000001,2010-12-19,Robot Chicken: Star Wars Episode III,7.5,60,robot chicken star wars episode iii,2010,robot chicken star wars episode iii2010
63,63,"[28, 9648, 53]",27576,en,Salt,13.025,2010-07-23,Salt,6.3,3240,salt,2010,salt2010
65,65,"[28, 80, 53]",26389,en,From Paris with Love,12.862,2010-02-05,From Paris with Love,6.2,1075,from paris with love,2010,from paris with love2010
66,66,"[28, 16, 9648]",40662,en,Batman: Under the Red Hood,12.704,2010-07-27,Batman: Under the Red Hood,7.7,756,batman under the red hood,2010,batman under the red hood2010
67,67,"[16, 12, 14, 10751]",42949,en,Arthur 3: la guerre des deux mondes,12.679,2010-08-22,Arthur 3: The War of the Two Worlds,5.6,865,arthur 3 the war of the two worlds,2010,arthur 3 the war of the two worlds2010
68,68,"[35, 10751, 14]",23023,en,Tooth Fairy,12.65,2010-01-22,Tooth Fairy,5.3,1058,tooth fairy,2010,tooth fairy2010
69,69,"[28, 35, 53]",23631,en,Machete,12.557,2010-09-03,Machete,6.3,1862,machete,2010,machete2010
70,70,"[80, 18, 9648, 10749]",25376,es,El secreto de sus ojos,12.530999999999999,2010-04-16,The Secret in Their Eyes,7.9,1141,the secret in their eyes,2010,the secret in their eyes2010
71,71,[35],35056,en,Date Night,12.498,2010-04-08,Date Night,6.0,1743,date night,2010,date night2010
72,72,"[35, 18]",41733,en,Due Date,12.445,2010-11-04,Due Date,6.3,2973,due date,2010,due date2010
73,73,"[28, 878, 53, 80]",31867,en,Repo Men,12.437000000000001,2010-03-19,Repo Men,6.2,976,repo men,2010,repo men2010
74,74,"[16, 28]",43641,en,Superman/Shazam!: The Return of Black Adam,12.395,2010-11-09,Superman/Shazam!: The Return of Black Adam,7.1,140,supermanshazam the return of black adam,2010,supermanshazam the return of black adam2010
75,75,[16],28874,ja,サマーウォーズ,12.275,2010-10-13,Summer Wars,7.5,447,summer wars,2010,summer wars2010
76,76,"[28, 12, 18, 10751]",38575,en,The Karate Kid,12.255999999999998,2010-06-10,The Karate Kid,6.3,3140,the karate kid,2010,the karate kid2010
77,77,"[35, 10751]",33217,en,Diary of a Wimpy Kid,12.255999999999998,2010-03-19,Diary of a Wimpy Kid,6.0,736,diary of a wimpy kid,2010,diary of a wimpy kid2010
78,78,"[9648, 27, 28]",29427,en,The Crazies,12.245999999999999,2010-02-26,The Crazies,6.2,1036,the crazies,2010,the crazies2010
79,79,"[28, 53, 80, 9648]",33613,sv,Luftslottet som sprängdes,12.235,2010-10-29,The Girl Who Kicked the Hornet's Nest,7.0,705,the girl who kicked the hornets nest,2010,the girl who kicked the hornets nest2010
80,80,"[35, 10749]",39451,en,Little Fockers,12.152999999999999,2010-12-21,Little Fockers,5.6,1883,little fockers,2010,little fockers2010
81,81,"[28, 12, 35, 80, 53]",39514,en,RED,12.082,2010-10-14,RED,6.6,4162,red,2010,red2010
82,82,"[18, 10749, 10752]",22971,en,Dear John,12.048,2010-02-04,Dear John,6.8,2676,dear john,2010,dear john2010
83,83,[27],22894,en,Legion,12.032,2010-01-22,Legion,5.3,1154,legion,2010,legion2010
84,84,"[12, 14, 16, 878]",37933,ja,ゲド戦記,12.005,2010-08-13,Tales from Earthsea,6.6,502,tales from earthsea,2010,tales from earthsea2010
85,85,"[10749, 35]",25195,en,Leap Year,11.821,2010-01-08,Leap Year,6.7,990,leap year,2010,leap year2010
86,86,"[35, 10749, 18]",38408,en,Life As We Know It,11.806,2010-10-02,Life As We Know It,6.8,1748,life as we know it,2010,life as we know it2010
87,87,"[18, 28, 53, 80, 9648]",24253,sv,Flickan som lekte med elden,11.655,2010-07-09,The Girl Who Played with Fire,7.0,881,the girl who played with fire,2010,the girl who played with fire2010
88,88,"[18, 53]",38363,en,Fair Game,11.624,2010-05-20,Fair Game,6.6,384,fair game,2010,fair game2010
90,90,"[10752, 28, 12, 18, 53]",22972,en,Green Zone,11.519,2010-03-11,Green Zone,6.4,1176,green zone,2010,green zone2010
91,91,"[28, 12, 16]",30061,en,Justice League: Crisis on Two Earths,11.498,2010-02-23,Justice League: Crisis on Two Earths,7.2,277,justice league crisis on two earths,2010,justice league crisis on two earths2010
92,92,"[18, 10749]",23169,en,Remember Me,11.453,2010-03-12,Remember Me,7.1,2079,remember me,2010,remember me2010
93,93,"[12, 18, 53]",44115,en,127 Hours,11.435,2010-11-05,127 Hours,7.0,4469,127 hours,2010,127 hours2010
94,94,"[9648, 14, 35, 12]",47533,de,Scooby-Doo! Curse of the Lake Monster,11.372,2010-10-15,Scooby-Doo! Curse of the Lake Monster,5.6,171,scoobydoo curse of the lake monster,2010,scoobydoo curse of the lake monster2010
95,95,"[35, 27]",43593,en,Piranha 3D,11.302,2010-08-20,Piranha 3D,5.3,1029,piranha 3d,2010,piranha 3d2010
96,96,"[12, 18, 28, 14]",37861,en,Valhalla Rising,11.26,2010-07-16,Valhalla Rising,6.0,582,valhalla rising,2010,valhalla rising2010
97,97,"[80, 18, 9648, 53]",12201,en,Edge of Darkness,11.252,2010-01-29,Edge of Darkness,6.3,794,edge of darkness,2010,edge of darkness2010
98,98,"[14, 12, 28, 9648]",35552,fr,Les Aventures extraordinaires d'Adèle Blanc-Sec,11.220999999999998,2010-04-14,The Extraordinary Adventures of Adèle Blanc-Sec,6.0,671,the extraordinary adventures of adèle blancsec,2010,the extraordinary adventures of adèle blancsec2010
99,99,"[35, 10749]",32856,en,Valentine's Day,11.187000000000001,2010-02-11,Valentine's Day,5.8,1907,valentines day,2010,valentines day2010
100,100,"[10749, 18, 53, 80]",43539,en,The Next Three Days,11.147,2010-11-19,The Next Three Days,7.0,1469,the next three days,2010,the next three days2010
102,102,"[18, 53, 9648]",26388,en,Buried,10.888,2010-09-24,Buried,6.6,1487,buried,2010,buried2010
103,103,"[28, 18, 36]",11645,ja,乱,10.885,1985-09-26,Ran,8.1,600,ran,1985,ran1985
104,104,"[12, 28, 35, 53]",41135,en,Operation: Endgame,10.799000000000001,2010-07-20,Operation: Endgame,4.9,88,operation endgame,2010,operation endgame2010
105,105,"[35, 12, 10751, 14]",38745,en,Gulliver's Travels,10.767999999999999,2010-12-25,Gulliver's Travels,5.1,1282,gullivers travels,2010,gullivers travels2010
106,106,"[16, 12, 10751, 14]",41216,en,Legend of the Guardians: The Owls of Ga'Hoole,10.754000000000001,2010-09-24,Legend of the Guardians: The Owls of Ga'Hoole,6.6,1223,legend of the guardians the owls of gahoole,2010,legend of the guardians the owls of gahoole2010
107,107,"[28, 35, 10751]",23172,en,The Spy Next Door,10.745999999999999,2010-01-15,The Spy Next Door,5.7,650,the spy next door,2010,the spy next door2010
108,108,"[35, 99, 28]",16290,en,Jackass 3D,10.715,2010-10-15,Jackass 3D,6.3,655,jackass 3d,2010,jackass 3d2010
109,109,[18],13078,en,The Babysitters,10.71,2008-05-09,The Babysitters,5.3,125,the babysitters,2008,the babysitters2008
110,110,"[28, 53, 80]",15357,fr,Banlieue 13 - Ultimatum,10.661,2010-02-05,District 13: Ultimatum,6.1,555,district 13 ultimatum,2010,district 13 ultimatum2010
111,111,"[53, 27]",10664,es,[REC]²,10.66,2010-07-09,[REC]²,6.5,920,rec²,2010,rec²2010
112,112,"[12, 16, 10751, 35]",51170,en,Open Season 3,10.614,2010-01-25,Open Season 3,5.5,237,open season 3,2010,open season 32010
113,113,"[35, 18, 10749]",38357,en,Morning Glory,10.595,2010-11-10,Morning Glory,6.3,717,morning glory,2010,morning glory2010
114,114,"[53, 80, 18, 28]",25941,en,Harry Brown,10.555,2010-04-30,Harry Brown,6.8,505,harry brown,2010,harry brown2010
115,115,"[35, 10751, 28, 14]",39691,en,Cats & Dogs: The Revenge of Kitty Galore,10.544,2010-07-30,Cats & Dogs: The Revenge of Kitty Galore,4.9,273,cats  dogs the revenge of kitty galore,2010,cats  dogs the revenge of kitty galore2010
116,116,[18],45317,en,The Fighter,10.395,2010-12-17,The Fighter,7.3,2325,the fighter,2010,the fighter2010
117,117,"[18, 10402, 10749]",27,en,9 Songs,10.332,2004-09-09,9 Songs,4.9,170,9 songs,2004,9 songs2004
118,118,"[28, 53, 10749]",37710,en,The Tourist,10.307,2010-12-10,The Tourist,6.1,3133,the tourist,2010,the tourist2010
119,119,"[18, 10749]",40080,en,The Cutting Edge: Fire & Ice,10.302999999999999,2010-03-14,The Cutting Edge: Fire & Ice,6.0,63,the cutting edge fire  ice,2010,the cutting edge fire  ice2010
120,120,[878],830,en,Forbidden Planet,10.274000000000001,1956-03-15,Forbidden Planet,7.3,388,forbidden planet,1956,forbidden planet1956
121,121,"[16, 10751, 14]",34134,en,Barbie in A Mermaid Tale,10.252,2010-03-01,Barbie in A Mermaid Tale,6.7,282,barbie in a mermaid tale,2010,barbie in a mermaid tale2010
122,122,"[18, 28, 36]",14756,cn,葉問,10.23,2010-10-01,Ip Man,7.7,1906,ip man,2010,ip man2010
123,123,"[28, 35, 53, 10749]",37821,en,Killers,10.221,2010-06-04,Killers,5.8,1314,killers,2010,killers2010
124,124,"[35, 10749]",38303,en,You Again,10.208,2010-09-24,You Again,6.2,734,you again,2010,you again2010
125,125,"[27, 9648, 53]",44040,en,Devil,10.203,2010-09-17,Devil,5.9,1516,devil,2010,devil2010
126,126,"[28, 12, 80, 9648, 53]",34813,en,The Losers,10.202,2010-04-23,The Losers,6.2,844,the losers,2010,the losers2010
127,127,"[18, 53, 80, 9648]",44629,en,Animal Kingdom,10.187999999999999,2010-08-13,Animal Kingdom,6.8,399,animal kingdom,2010,animal kingdom2010
128,128,"[18, 80]",33909,en,Wall Street: Money Never Sleeps,10.177,2010-09-20,Wall Street: Money Never Sleeps,6.0,797,wall street money never sleeps,2010,wall street money never sleeps2010
129,129,"[18, 53, 878]",43933,en,Monsters,10.175,2010-10-29,Monsters,6.2,848,monsters,2010,monsters2010
130,130,"[878, 35, 12]",23048,en,Hot Tub Time Machine,10.15,2010-03-26,Hot Tub Time Machine,6.0,1383,hot tub time machine,2010,hot tub time machine2010
131,131,"[16, 35, 10751, 80, 9648]",14447,en,A Matter of Loaf and Death,10.1,2010-02-19,A Matter of Loaf and Death,7.2,219,a matter of loaf and death,2010,a matter of loaf and death2010
132,132,"[18, 35, 10749]",43347,en,Love & Other Drugs,10.09,2010-11-24,Love & Other Drugs,6.9,2509,love  other drugs,2010,love  other drugs2010
133,133,"[14, 18, 10751]",40205,en,16 Wishes,10.068,2010-06-25,16 Wishes,5.9,688,16 wishes,2010,16 wishes2010
134,134,"[18, 10749, 878]",42188,en,Never Let Me Go,10.012,2010-09-15,Never Let Me Go,6.8,1294,never let me go,2010,never let me go2010
135,135,"[35, 18]",43923,en,It's Kind of a Funny Story,10.01,2010-10-08,It's Kind of a Funny Story,7.0,1324,its kind of a funny story,2010,its kind of a funny story2010
136,136,[18],38167,en,Eat Pray Love,9.991,2010-08-12,Eat Pray Love,6.0,1208,eat pray love,2010,eat pray love2010
137,137,"[35, 18, 10749]",37786,en,Sex and the City 2,9.986,2010-05-27,Sex and the City 2,5.9,809,sex and the city 2,2010,sex and the city 22010
138,138,"[35, 80, 18]",37495,en,Four Lions,9.968,2010-11-05,Four Lions,7.0,621,four lions,2010,four lions2010
139,139,"[35, 14, 10749]",13477,en,When in Rome,9.926,2010-01-29,When in Rome,5.9,703,when in rome,2010,when in rome2010
140,140,"[28, 35, 18]",27573,en,The Bounty Hunter,9.861,2010-03-19,The Bounty Hunter,5.7,1627,the bounty hunter,2010,the bounty hunter2010
141,141,[18],39013,en,Winter's Bone,9.824,2010-06-11,Winter's Bone,6.9,931,winters bone,2010,winters bone2010
142,142,"[18, 10749]",52338,en,Waiting for Forever,9.818999999999999,2010-02-10,Waiting for Forever,5.7,172,waiting for forever,2010,waiting for forever2010
143,143,"[18, 27, 9648, 53]",43931,en,My Soul to Take,9.808,2010-10-08,My Soul to Take,5.4,247,my soul to take,2010,my soul to take2010
144,144,"[27, 9648, 53]",23437,en,A Nightmare on Elm Street,9.795,2010-04-30,A Nightmare on Elm Street,5.5,1408,a nightmare on elm street,2010,a nightmare on elm street2010
145,145,"[10749, 18]",43949,en,Flipped,9.781,2010-08-06,Flipped,7.4,859,flipped,2010,flipped2010
146,146,"[18, 27, 9648]",41402,en,Let Me In,9.716000000000001,2010-10-01,Let Me In,6.7,1061,let me in,2010,let me in2010
147,147,"[18, 53]",38199,en,Unthinkable,9.693,2010-06-15,Unthinkable,6.7,623,unthinkable,2010,unthinkable2010
148,148,[53],44363,en,Frozen,9.677999999999999,2010-02-05,Frozen,5.8,987,frozen,2010,frozen2010
149,149,"[28, 35, 80, 53]",29564,en,Smokin' Aces 2: Assassins' Ball,9.565,2010-01-19,Smokin' Aces 2: Assassins' Ball,5.4,141,smokin aces 2 assassins ball,2010,smokin aces 2 assassins ball2010
150,150,"[14, 18]",34647,en,Enter the Void,9.562999999999999,2010-09-24,Enter the Void,7.3,773,enter the void,2010,enter the void2010
151,151,"[80, 27]",55890,en,Bereavement,9.55,2010-07-16,Bereavement,5.3,71,bereavement,2010,bereavement2010
152,152,[99],44639,en,Inside Job,9.514,2010-10-08,Inside Job,7.8,466,inside job,2010,inside job2010
153,153,"[80, 53]",101669,en,Mother's Day,9.496,2010-09-23,Mother's Day,6.4,193,mothers day,2010,mothers day2010
154,154,"[27, 53]",7340,en,Carrie,9.467,1976-11-03,Carrie,7.1,1766,carrie,1976,carrie1976
155,155,"[18, 10749]",37950,en,Charlie St. Cloud,9.454,2010-05-01,Charlie St. Cloud,6.9,1398,charlie st cloud,2010,charlie st cloud2010
156,156,"[35, 10751]",35169,en,Furry Vengeance,9.45,2010-04-02,Furry Vengeance,4.6,283,furry vengeance,2010,furry vengeance2010
157,157,"[80, 35, 18]",45324,en,Casino Jack,9.432,2010-12-17,Casino Jack,6.1,149,casino jack,2010,casino jack2010
159,159,"[10749, 35]",39285,en,Beauty & the Briefcase,9.405,2010-04-18,Beauty & the Briefcase,5.5,250,beauty  the briefcase,2010,beauty  the briefcase2010
