,Unnamed: 0,Genre_Ids,Id,Original_Language,Original_Title,Popularity,Release_Date,Title,Vote_Average,Vote_Count,Clean Title,Year,Link
14796,14796,"[18, 10749]",310568,lt,Sangailės vasara,4.875,2015-11-20,The Summer of Sangaile,6.4,45,the summer of sangaile,2015,the summer of sangaile2015
14797,14797,[35],326665,en,Aziz Ansari: Live at Madison Square Garden,4.872,2015-03-06,Aziz Ansari: Live at Madison Square Garden,6.7,73,aziz ansari live at madison square garden,2015,aziz ansari live at madison square garden2015
14798,14798,[18],244260,en,Little Accidents,4.8069999999999995,2015-01-16,Little Accidents,5.7,39,little accidents,2015,little accidents2015
14799,14799,[99],319076,en,Listen to Me Marlon,4.7989999999999995,2015-07-29,Listen to Me Marlon,7.5,73,listen to me marlon,2015,listen to me marlon2015
14800,14800,"[18, 28, 10749]",362136,hi,प्रेम रतन धन पायो,4.763999999999999,2015-11-13,Prem Ratan Dhan Payo,6.0,65,prem ratan dhan payo,2015,prem ratan dhan payo2015
14801,14801,"[28, 12]",283322,mi,The Dead Lands,4.746,2015-02-28,The Dead Lands,6.3,58,the dead lands,2015,the dead lands2015
14802,14802,[18],328869,en,Meadowland,4.7330000000000005,2015-10-16,Meadowland,6.2,62,meadowland,2015,meadowland2015
14803,14803,[99],261860,fr,Dior et moi,4.726,2015-04-10,Dior and I,7.5,78,dior and i,2015,dior and i2015
14804,14804,"[35, 18, 10749]",339274,hi,तमाशा,4.698,2015-11-27,Tamasha,6.6,64,tamasha,2015,tamasha2015
14805,14805,"[80, 53, 28, 18]",323517,hi,बदलापुर,4.664,2015-02-20,Badlapur,7.1,58,badlapur,2015,badlapur2015
14806,14806,"[28, 27, 53]",356483,en,Unnatural,4.652,2015-10-16,Unnatural,4.3,22,unnatural,2015,unnatural2015
14807,14807,"[18, 10751]",342464,en,Jack of the Red Hearts,4.618,2016-02-26,Jack of the Red Hearts,7.1,59,jack of the red hearts,2016,jack of the red hearts2016
14808,14808,"[35, 27, 9648]",285840,en,The Editor,4.614,2014-10-18,The Editor,5.6,56,the editor,2014,the editor2014
14809,14809,"[16, 10751]",264419,es,Un gallo con muchos huevos,4.603,2015-09-04,Huevos: Little Rooster's Egg-Cellent Adventure,5.5,35,huevos little roosters eggcellent adventure,2015,huevos little roosters eggcellent adventure2015
14810,14810,"[10749, 18]",325388,ru,14+,4.598,2015-11-19,14+,7.2,35,14,2015,142015
14811,14811,[35],314952,ru,Что творят мужчины! 2,4.585,2015-01-10,What Men Do! 2,2.0,6,what men do 2,2015,what men do 22015
14812,14812,"[16, 35, 10751]",308447,en,The Flintstones & WWE: Stone Age Smackdown,4.583,2015-03-17,The Flintstones & WWE: Stone Age Smackdown,6.0,25,the flintstones  wwe stone age smackdown,2015,the flintstones  wwe stone age smackdown2015
14813,14813,"[12, 16, 35]",371236,ja,クレヨンしんちゃん オラの引越し物語 サボテン大襲撃,4.573,2015-04-30,Crayon Shin-chan: My Moving Story! Cactus Large Attack!,7.7,3,crayon shinchan my moving story cactus large attack,2015,crayon shinchan my moving story cactus large attack2015
14814,14814,"[27, 9648, 53]",69872,it,Il tuo vizio è una stanza chiusa e solo io ne ho la chiave,4.564,2015-10-20,Your Vice Is a Locked Room and Only I Have the Key,6.2,32,your vice is a locked room and only i have the key,2015,your vice is a locked room and only i have the key2015
14815,14815,"[9648, 18, 80, 53]",251981,ja,渇き。,4.5569999999999995,2015-12-04,The World of Kanako,6.4,73,the world of kanako,2015,the world of kanako2015
14816,14816,"[35, 10749]",309739,ru,8 новых свиданий,4.5489999999999995,2015-01-15,8 New Dates,5.6,19,8 new dates,2015,8 new dates2015
14817,14817,"[35, 18]",308077,en,Nasty Baby,4.5489999999999995,2015-10-23,Nasty Baby,5.3,32,nasty baby,2015,nasty baby2015
14818,14818,"[878, 80, 27]",298026,en,Reaper,4.5280000000000005,2015-06-05,Reaper,5.6,30,reaper,2015,reaper2015
14819,14819,[35],320996,en,Iliza Shlesinger: Freezing Hot,4.508,2015-01-23,Iliza Shlesinger: Freezing Hot,6.8,39,iliza shlesinger freezing hot,2015,iliza shlesinger freezing hot2015
14820,14820,[99],355254,en,De Palma,4.507,2016-06-10,De Palma,7.3,63,de palma,2016,de palma2016
14821,14821,"[18, 53]",298031,it,Hope Lost,4.504,2015-02-01,Hope Lost,4.0,18,hope lost,2015,hope lost2015
14822,14822,[99],323599,en,Humpback Whales,4.481,2015-02-13,Humpback Whales,7.7,7,humpback whales,2015,humpback whales2015
14823,14823,[35],364089,en,Anthony Jeselnik: Thoughts and Prayers,4.458,2015-10-16,Anthony Jeselnik: Thoughts and Prayers,7.5,39,anthony jeselnik thoughts and prayers,2015,anthony jeselnik thoughts and prayers2015
14825,14825,"[53, 18]",332839,en,Big Sky,4.4430000000000005,2015-08-14,Big Sky,3.9,32,big sky,2015,big sky2015
14826,14826,[27],156981,en,Old 37,4.431,2015-03-21,Old 37,4.0,21,old 37,2015,old 372015
14827,14827,"[99, 10751]",251471,en,A LEGO Brickumentary,4.4239999999999995,2015-07-31,A LEGO Brickumentary,5.9,69,a lego brickumentary,2015,a lego brickumentary2015
14828,14828,[18],336203,hi,मसान,4.414,2015-07-24,Masaan,6.9,68,masaan,2015,masaan2015
14829,14829,"[27, 9648, 53]",323366,en,Pod,4.4110000000000005,2015-03-16,Pod,4.2,60,pod,2015,pod2015
14830,14830,[35],285838,en,Teen Lust,4.4,2015-07-20,Teen Lust,4.5,31,teen lust,2015,teen lust2015
14831,14831,"[99, 36]",256876,en,Red Army,4.393,2015-01-23,Red Army,7.5,77,red army,2015,red army2015
14832,14832,"[35, 10749]",317114,en,Bridal Wave,4.39,2015-01-24,Bridal Wave,6.3,34,bridal wave,2015,bridal wave2015
14834,14834,[18],337107,fr,Valley of Love,4.377,2016-03-03,Valley of Love,5.9,44,valley of love,2016,valley of love2016
14835,14835,"[18, 10749]",361069,he,ברש,4.362,2015-10-22,Blush,5.9,22,blush,2015,blush2015
14836,14836,"[16, 10751]",25400,en,My Little Pony: The Movie,4.346,1986-06-06,My Little Pony: The Movie,5.6,21,my little pony the movie,1986,my little pony the movie1986
14837,14837,[27],339342,en,Anarchy Parlor,4.343999999999999,2015-01-01,Anarchy Parlor,5.5,39,anarchy parlor,2015,anarchy parlor2015
14838,14838,"[18, 28]",337876,hi,Gabbar Is Back,4.3260000000000005,2015-05-01,Gabbar Is Back,7.0,50,gabbar is back,2015,gabbar is back2015
14839,14839,[28],307168,en,Extraction Day,4.323,2015-02-28,Extraction Day,5.3,4,extraction day,2015,extraction day2015
14840,14840,"[35, 27]",362105,en,R.L. Stine's Monsterville: The Cabinet of Souls,4.297,2015-09-29,R.L. Stine's Monsterville: The Cabinet of Souls,6.7,72,rl stines monsterville the cabinet of souls,2015,rl stines monsterville the cabinet of souls2015
14841,14841,"[18, 53, 27, 9648]",291151,en,The Stranger,4.27,2015-06-12,The Stranger,4.8,54,the stranger,2015,the stranger2015
14843,14843,"[35, 18]",314606,ja,百円の恋,4.25,2015-07-16,100 Yen Love,7.4,19,100 yen love,2015,100 yen love2015
14844,14844,[35],332500,en,College Coeds vs. Zombie Housewives,4.243,2015-03-24,College Coeds vs. Zombie Housewives,7.4,6,college coeds vs zombie housewives,2015,college coeds vs zombie housewives2015
14845,14845,"[35, 10751]",353609,en,Santa's Little Helper,4.242,2015-11-17,Santa's Little Helper,4.9,25,santas little helper,2015,santas little helper2015
14846,14846,"[53, 9648, 878]",301228,en,Narcopolis,4.242,2015-10-02,Narcopolis,4.8,42,narcopolis,2015,narcopolis2015
14847,14847,"[27, 53, 878]",321039,en,The Phoenix Incident,4.234,2015-06-16,The Phoenix Incident,5.0,28,the phoenix incident,2015,the phoenix incident2015
14848,14848,"[9648, 18, 27]",330770,fr,Évolution,4.208,2015-09-14,Evolution,6.3,73,evolution,2015,evolution2015
14849,14849,"[28, 12, 18]",318954,en,Beyond the Mask,4.206,2015-04-06,Beyond the Mask,5.3,49,beyond the mask,2015,beyond the mask2015
14850,14850,"[18, 10749]",253251,en,10.000 KM,4.205,2015-07-10,"10,000 km",6.5,49,10000 km,2015,10000 km2015
14851,14851,[53],342502,en,AWOL-72,4.2,2015-08-07,AWOL-72,3.8,22,awol72,2015,awol722015
14852,14852,"[27, 878]",106845,en,Re-Kill,4.191,2015-10-16,Re-Kill,4.8,47,rekill,2015,rekill2015
14853,14853,"[10749, 18]",361018,en,Akron,4.184,2015-10-06,Akron,6.3,44,akron,2015,akron2015
14855,14855,[53],312797,en,The Barber,4.1530000000000005,2015-03-27,The Barber,5.9,45,the barber,2015,the barber2015
14856,14856,"[18, 53]",277710,en,Anesthesia,4.145,2016-01-08,Anesthesia,5.8,61,anesthesia,2016,anesthesia2016
14857,14857,"[10749, 18, 35, 9648]",291189,en,The Driftless Area,4.138,2015-04-18,The Driftless Area,5.2,35,the driftless area,2015,the driftless area2015
14858,14858,"[18, 9648]",356021,en,Subterranea,4.137,2015-06-05,Subterranea,5.2,6,subterranea,2015,subterranea2015
14859,14859,"[27, 878]",268105,es,Los parecidos,4.117,2015-09-25,The Similars,5.7,65,the similars,2015,the similars2015
14860,14860,"[80, 53, 28, 27]",298032,en,VANish,4.0969999999999995,2015-02-24,VANish,4.6,29,vanish,2015,vanish2015
14861,14861,"[35, 16, 10751, 12, 878, 14]",350650,ja,映画ドラえもん のび太の宇宙英雄記（スペースヒーローズ）,4.081,2015-12-31,Doraemon: Nobita and the Space Heroes,6.9,16,doraemon nobita and the space heroes,2015,doraemon nobita and the space heroes2015
14862,14862,"[99, 80]",367215,en,The Fear of 13,4.063,2015-10-15,The Fear of 13,7.9,72,the fear of 13,2015,the fear of 132015
14863,14863,"[53, 27]",268725,en,Nightlight,4.059,2015-03-27,Nightlight,4.7,42,nightlight,2015,nightlight2015
14864,14864,"[18, 53]",343921,en,A Deadly Adoption,4.034,2015-06-20,A Deadly Adoption,5.0,49,a deadly adoption,2015,a deadly adoption2015
14865,14865,[99],23116,en,Loose Change 9/11: An American Coup,4.029,2009-09-22,Loose Change 9/11: An American Coup,6.6,40,loose change 911 an american coup,2009,loose change 911 an american coup2009
14866,14866,"[28, 35, 80]",284460,en,Samurai Cop 2: Deadly Vengeance,4.029,2015-10-09,Samurai Cop 2: Deadly Vengeance,4.2,23,samurai cop 2 deadly vengeance,2015,samurai cop 2 deadly vengeance2015
14868,14868,"[27, 53]",366506,en,Agoraphobia,4.013999999999999,2015-10-01,Agoraphobia,4.4,24,agoraphobia,2015,agoraphobia2015
14870,14870,"[35, 27]",343284,en,Night of the Living Deb,3.997,2015-10-08,Night of the Living Deb,5.6,72,night of the living deb,2015,night of the living deb2015
14871,14871,"[27, 53]",337029,en,Frankenstein,3.989,2015-08-15,Frankenstein,5.8,51,frankenstein,2015,frankenstein2015
14872,14872,"[18, 10402]",336790,hi,एबीसीडी 2,3.984,2015-06-19,Any Body Can Dance 2,5.4,36,any body can dance 2,2015,any body can dance 22015
14873,14873,[14],350505,en,Molly Moon and the Incredible Book of Hypnotism,3.978,2015-05-30,Molly Moon and the Incredible Book of Hypnotism,5.0,40,molly moon and the incredible book of hypnotism,2015,molly moon and the incredible book of hypnotism2015
14874,14874,"[28, 53, 14]",321621,en,The Throwaways,3.969,2015-01-30,The Throwaways,5.1,26,the throwaways,2015,the throwaways2015
14875,14875,[80],373321,en,Rise of the Footsoldier Part II,3.968,2015-12-12,Rise of the Footsoldier Part II,4.8,19,rise of the footsoldier part ii,2015,rise of the footsoldier part ii2015
14876,14876,"[878, 18]",312131,en,The Phoenix Project,3.952,2015-01-16,The Phoenix Project,3.6,17,the phoenix project,2015,the phoenix project2015
14877,14877,[18],338107,en,Chocolate City,3.9360000000000004,2015-05-22,Chocolate City,5.1,21,chocolate city,2015,chocolate city2015
14878,14878,[35],345306,ru,Бармен,3.9160000000000004,2015-07-20,The Bartender,5.5,22,the bartender,2015,the bartender2015
14880,14880,[18],300686,en,Chloe and Theo,3.8930000000000002,2015-04-15,Chloe and Theo,6.3,35,chloe and theo,2015,chloe and theo2015
14882,14882,[35],361745,en,Autumn Dreams,3.865,2015-10-03,Autumn Dreams,6.6,39,autumn dreams,2015,autumn dreams2015
14883,14883,"[10749, 35]",317118,en,"I Do, I Do, I Do",3.8480000000000003,2015-02-06,"I Do, I Do, I Do",5.8,30,i do i do i do,2015,i do i do i do2015
14884,14884,"[18, 10749]",283831,ja,ストロボ・エッジ,3.8360000000000003,2015-10-02,Strobe Edge,6.6,19,strobe edge,2015,strobe edge2015
14885,14885,"[18, 10749]",292431,en,Love,3.8280000000000003,2015-10-30,Love,6.0,815,love,2015,love2015
14886,14886,[18],333091,en,Bare,3.827,2015-10-30,Bare,4.6,31,bare,2015,bare2015
14887,14887,[35],364708,en,All American Bikini Car Wash,3.8110000000000004,2015-10-06,All American Bikini Car Wash,4.7,26,all american bikini car wash,2015,all american bikini car wash2015
14888,14888,[18],284294,en,Time Out of Mind,3.81,2015-09-09,Time Out of Mind,5.6,75,time out of mind,2015,time out of mind2015
14889,14889,[35],301629,en,Addicted to Fresno,3.8,2015-09-01,Addicted to Fresno,5.4,52,addicted to fresno,2015,addicted to fresno2015
14890,14890,"[35, 18, 10749]",249916,en,Appropriate Behavior,3.795,2014-01-18,Appropriate Behavior,6.6,45,appropriate behavior,2014,appropriate behavior2014
14891,14891,"[53, 18, 10749]",332936,en,Any Day,3.7939999999999996,2015-03-27,Any Day,4.9,15,any day,2015,any day2015
14892,14892,"[53, 18]",306482,en,Partisan,3.7880000000000003,2015-01-25,Partisan,6.1,52,partisan,2015,partisan2015
14893,14893,"[18, 10751]",365762,en,Angels in the Snow,3.783,2015-11-22,Angels in the Snow,6.3,24,angels in the snow,2015,angels in the snow2015
14894,14894,[18],339079,en,A Country Called Home,3.775,2016-02-26,A Country Called Home,5.7,23,a country called home,2016,a country called home2016
14895,14895,"[10751, 16]",366143,en,Binky Nelson Unpacified,3.7680000000000002,2015-12-08,Binky Nelson Unpacified,5.5,20,binky nelson unpacified,2015,binky nelson unpacified2015
14896,14896,"[53, 12, 28]",352978,en,Chain of Command,3.767,2015-09-08,Chain of Command,5.0,20,chain of command,2015,chain of command2015
14897,14897,"[53, 28, 80]",356841,en,Checkmate,3.764,2015-07-03,Checkmate,4.2,20,checkmate,2015,checkmate2015
14898,14898,[99],291817,en,Seymour: An Introduction,3.762,2015-03-13,Seymour: An Introduction,7.3,8,seymour an introduction,2015,seymour an introduction2015
14899,14899,[18],186976,es,La jaula de oro,3.7569999999999997,2015-09-04,The Golden Dream,6.7,64,the golden dream,2015,the golden dream2015
14900,14900,"[10749, 35, 18]",365451,en,"Baby, Baby, Baby",3.734,2015-10-30,"Baby, Baby, Baby",6.2,10,baby baby baby,2015,baby baby baby2015
14901,14901,[35],347158,en,Bikini Avengers,3.7310000000000003,2015-02-24,Bikini Avengers,6.2,6,bikini avengers,2015,bikini avengers2015
14902,14902,[27],287692,en,Bastard,3.721,2015-10-16,Bastard,4.8,31,bastard,2015,bastard2015
14903,14903,[16],368304,en,LEGO Marvel Super Heroes: Avengers Reassembled!,3.717,2015-11-16,LEGO Marvel Super Heroes: Avengers Reassembled!,6.4,27,lego marvel super heroes avengers reassembled,2015,lego marvel super heroes avengers reassembled2015
14904,14904,"[18, 12]",321015,ru,Как меня зовут,3.71,2014-11-27,Name Me,7.2,6,name me,2014,name me2014
14905,14905,"[53, 28, 27, 878]",343097,en,Mega Shark vs. Kolossus,3.694,2015-06-18,Mega Shark vs. Kolossus,3.8,21,mega shark vs kolossus,2015,mega shark vs kolossus2015
14906,14906,"[35, 16, 10751]",343977,en,Tom and Jerry Spy Quest,3.68,2015-06-09,Tom and Jerry Spy Quest,6.7,12,tom and jerry spy quest,2015,tom and jerry spy quest2015
14907,14907,"[53, 9648, 27, 18]",309919,en,The Curse of Downers Grove,3.674,2015-08-21,The Curse of Downers Grove,4.7,42,the curse of downers grove,2015,the curse of downers grove2015
14908,14908,[18],296025,en,Safelight,3.665,2015-04-17,Safelight,6.2,49,safelight,2015,safelight2015
14909,14909,"[53, 35, 27]",345069,en,Crush the Skull,3.66,2015-06-11,Crush the Skull,6.3,25,crush the skull,2015,crush the skull2015
14910,14910,"[18, 35]",314220,el,Chevalier,3.633,2016-05-27,Chevalier,5.9,38,chevalier,2016,chevalier2016
14911,14911,[35],345363,en,One Crazy Cruise,3.63,2015-06-19,One Crazy Cruise,6.0,7,one crazy cruise,2015,one crazy cruise2015
14913,14913,[18],333657,en,Club Life,3.63,2015-05-29,Club Life,5.7,23,club life,2015,club life2015
14914,14914,"[35, 10749, 18]",321160,en,With This Ring,3.6260000000000003,2015-01-24,With This Ring,5.3,30,with this ring,2015,with this ring2015
14916,14916,"[10402, 35, 10751]",333678,en,Fan Girl,3.616,2015-12-31,Fan Girl,5.5,31,fan girl,2015,fan girl2015
14917,14917,"[18, 53]",289191,en,I Am Here,3.616,2015-06-12,I Am Here,5.4,37,i am here,2015,i am here2015
14919,14919,[18],327982,ru,ДухLess 2,3.597,2015-03-19,Soulless 2,5.2,22,soulless 2,2015,soulless 22015
14921,14921,"[27, 878]",362439,en,They Found Hell,3.563,2015-10-17,They Found Hell,4.7,29,they found hell,2015,they found hell2015
14922,14922,"[35, 36, 18, 10749]",314404,it,Maraviglioso Boccaccio,3.56,2015-04-20,Wondrous Boccaccio,5.8,46,wondrous boccaccio,2015,wondrous boccaccio2015
14923,14923,"[80, 18, 53]",324333,en,Wild Horses,3.554,2015-06-05,Wild Horses,4.6,43,wild horses,2015,wild horses2015
14924,14924,"[53, 9648, 27, 14]",279972,en,Digging Up the Marrow,3.552,2015-02-20,Digging Up the Marrow,5.6,78,digging up the marrow,2015,digging up the marrow2015
14925,14925,[18],276496,en,The Dark Horse,3.5439999999999996,2015-04-25,The Dark Horse,5.7,67,the dark horse,2015,the dark horse2015
14927,14927,[53],299553,en,Shark Lake,3.5210000000000004,2015-10-02,Shark Lake,3.9,31,shark lake,2015,shark lake2015
14928,14928,"[35, 18]",291405,en,The Breakup Girl,3.508,2015-07-10,The Breakup Girl,5.0,4,the breakup girl,2015,the breakup girl2015
14929,14929,[18],337104,en,Chronic,3.5039999999999996,2015-10-21,Chronic,5.4,28,chronic,2015,chronic2015
14930,14930,[27],406582,en,Delirium,3.485,2015-05-26,Delirium,3.6,9,delirium,2015,delirium2015
14931,14931,"[28, 53, 9648]",341050,en,Convergence,3.478,2015-01-01,Convergence,4.8,16,convergence,2015,convergence2015
14932,14932,"[27, 53, 28]",322922,en,Awaken,3.458,2015-07-07,Awaken,3.6,32,awaken,2015,awaken2015
14933,14933,"[16, 10402, 10751]",349158,en,My Little Pony: Equestria Girls - Friendship Games,3.443,2015-09-17,My Little Pony: Equestria Girls - Friendship Games,5.8,22,my little pony equestria girls  friendship games,2015,my little pony equestria girls  friendship games2015
14934,14934,"[27, 878]",362434,en,Ominous,3.44,2015-10-10,Ominous,4.6,20,ominous,2015,ominous2015
14935,14935,"[35, 27]",262169,en,Gravy,3.437,2015-10-02,Gravy,6.0,29,gravy,2015,gravy2015
14936,14936,"[53, 27]",315899,en,Desecrated,3.431,2015-01-06,Desecrated,2.9,8,desecrated,2015,desecrated2015
14937,14937,[27],256030,en,Muck,3.418,2015-03-15,Muck,3.3,51,muck,2015,muck2015
14938,14938,[18],227975,pt,Praia do Futuro,3.415,2015-02-27,Futuro Beach,6.4,43,futuro beach,2015,futuro beach2015
14939,14939,"[18, 80]",362478,en,The Preppie Connection,3.408,2016-03-18,The Preppie Connection,6.7,58,the preppie connection,2016,the preppie connection2016
14940,14940,"[9648, 28, 27, 14]",252596,de,German Angst,3.395,2015-09-28,German Angst,5.7,33,german angst,2015,german angst2015
14941,14941,"[18, 53, 878]",331592,en,Listening,3.383,2015-09-11,Listening,5.7,46,listening,2015,listening2015
14942,14942,"[878, 28]",333545,en,Road Wars,3.3819999999999997,2015-05-05,Road Wars,2.8,15,road wars,2015,road wars2015
14943,14943,"[18, 53]",273599,en,The Suicide Theory,3.365,2015-07-10,The Suicide Theory,6.4,49,the suicide theory,2015,the suicide theory2015
14944,14944,"[12, 16, 878, 28]",337755,en,Star Wars Rebels: The Siege of Lothal,3.36,2015-04-18,Star Wars Rebels: The Siege of Lothal,7.9,32,star wars rebels the siege of lothal,2015,star wars rebels the siege of lothal2015
14945,14945,"[18, 878]",320146,en,Creative Control,3.35,2016-03-11,Creative Control,5.6,36,creative control,2016,creative control2016
14946,14946,"[80, 18, 53]",322766,en,Beautiful & Twisted,3.344,2015-01-31,Beautiful & Twisted,5.7,39,beautiful  twisted,2015,beautiful  twisted2015
14947,14947,"[18, 27, 53]",356191,pl,Demon,3.34,2015-09-09,Demon,6.2,50,demon,2015,demon2015
14948,14948,[35],273610,en,Helicopter Mom,3.3289999999999997,2015-04-24,Helicopter Mom,5.6,15,helicopter mom,2015,helicopter mom2015
14949,14949,"[27, 35]",356486,en,Lumberjack Man,3.325,2015-10-16,Lumberjack Man,4.1,23,lumberjack man,2015,lumberjack man2015
14950,14950,[80],356216,en,The Rise of the Krays,3.322,2015-08-29,The Rise of the Krays,4.8,26,the rise of the krays,2015,the rise of the krays2015
14952,14952,"[9648, 18, 53]",206197,en,The Sisterhood of Night,3.3139999999999996,2015-04-10,The Sisterhood of Night,6.4,51,the sisterhood of night,2015,the sisterhood of night2015
14953,14953,[35],365756,en,A Dogwalker's Christmas Tale,3.2969999999999997,2015-11-15,A Dogwalker's Christmas Tale,5.9,28,a dogwalkers christmas tale,2015,a dogwalkers christmas tale2015
14955,14955,"[18, 35]",323967,en,Walter,3.2769999999999997,2015-03-13,Walter,5.5,31,walter,2015,walter2015
14956,14956,[27],309063,en,The Ouija Experiment 2: Theatre of Death,3.2760000000000002,2015-01-13,The Ouija Experiment 2: Theatre of Death,2.9,43,the ouija experiment 2 theatre of death,2015,the ouija experiment 2 theatre of death2015
14957,14957,[99],369362,en,"Chau, Beyond the Lines",3.258,2015-08-21,"Chau, Beyond the Lines",5.7,6,chau beyond the lines,2015,chau beyond the lines2015
14958,14958,[27],366551,en,Krampus: The Reckoning,3.2460000000000004,2015-11-03,Krampus: The Reckoning,2.6,18,krampus the reckoning,2015,krampus the reckoning2015
14959,14959,[27],306307,en,Gnome Alone,3.245,2015-01-20,Gnome Alone,3.0,6,gnome alone,2015,gnome alone2015
14960,14960,"[53, 18]",291290,en,Submerged,3.241,2015-11-27,Submerged,4.3,33,submerged,2015,submerged2015
14962,14962,"[878, 35]",312793,en,Walking with the Dead,3.215,2015-03-20,The Walking Deceased,5.0,59,the walking deceased,2015,the walking deceased2015
14963,14963,"[99, 878]",355131,en,Sense8: Creating the World,3.214,2015-08-10,Sense8: Creating the World,7.9,51,sense8 creating the world,2015,sense8 creating the world2015
14964,14964,"[18, 10749, 35]",263105,en,Boy Meets Girl,3.2089999999999996,2015-02-06,Boy Meets Girl,6.9,59,boy meets girl,2015,boy meets girl2015
14965,14965,"[27, 53]",346170,en,The Chosen,3.2060000000000004,2015-07-24,The Chosen,4.4,47,the chosen,2015,the chosen2015
14966,14966,"[35, 99]",316761,en,Call Me Lucky,3.2030000000000003,2015-08-07,Call Me Lucky,7.3,35,call me lucky,2015,call me lucky2015
14967,14967,"[53, 18, 27]",350616,en,The Divine Tragedies,3.19,2015-10-03,The Divine Tragedies,5.3,6,the divine tragedies,2015,the divine tragedies2015
14968,14968,"[53, 27]",329205,en,Ghoul,3.185,2015-03-20,Ghoul,4.8,37,ghoul,2015,ghoul2015
14969,14969,"[10751, 16]",305387,fr,L'Apprenti Père Noël et le flocon magique,3.179,2015-12-20,The Magic Snowflake,6.2,20,the magic snowflake,2015,the magic snowflake2015
14971,14971,"[18, 35]",299780,en,Dough,3.1710000000000003,2015-04-14,Dough,5.8,38,dough,2015,dough2015
14974,14974,"[18, 10752]",338942,ru,Дорога на Берлин,3.16,2015-05-26,Road to Berlin,7.0,6,road to berlin,2015,road to berlin2015
14975,14975,"[18, 10752]",283708,fr,Loin des hommes,3.157,2015-05-01,Far from Men,6.9,64,far from men,2015,far from men2015
14976,14976,[35],338227,ru,Женщины против мужчин,3.154,2015-04-09,Women vs. Men,3.8,17,women vs men,2015,women vs men2015
14978,14978,"[9648, 18]",277687,en,The Midnight Swim,3.148,2015-06-26,The Midnight Swim,5.1,14,the midnight swim,2015,the midnight swim2015
14979,14979,"[18, 878]",320005,ru,Под электрическими облаками,3.145,2015-06-22,Under Electric Clouds,7.1,17,under electric clouds,2015,under electric clouds2015
14980,14980,"[35, 18, 10749]",296178,en,Posthumous,3.1430000000000002,2015-03-13,Posthumous,6.1,29,posthumous,2015,posthumous2015
14981,14981,"[80, 18, 53]",386465,en,Newcomer,3.135,2015-10-30,Newcomer,5.9,12,newcomer,2015,newcomer2015
14982,14982,"[18, 10751]",336121,en,Girl on the Edge,3.113,2015-02-23,Girl on the Edge,5.8,25,girl on the edge,2015,girl on the edge2015
14983,14983,"[10749, 18]",330007,es,En la Gama de los Grises,3.1039999999999996,2015-03-07,In the Grayscale,6.6,28,in the grayscale,2015,in the grayscale2015
14984,14984,"[80, 28, 18, 27, 53]",330431,hi,NH10,3.0989999999999998,2015-03-13,NH10,7.0,39,nh10,2015,nh102015
14985,14985,"[12, 35, 80, 53]",333675,en,Band of Robbers,3.093,2016-01-15,Band of Robbers,6.3,61,band of robbers,2016,band of robbers2016
14986,14986,"[18, 80]",328899,en,Dixieland,3.093,2015-12-11,Dixieland,5.4,23,dixieland,2015,dixieland2015
14989,14989,"[53, 18]",360339,en,Eden,3.0610000000000004,2015-09-18,Eden,5.4,29,eden,2015,eden2015
14992,14992,"[53, 28, 12, 878]",353267,en,Fire Twister,3.0380000000000003,2015-08-06,Fire Twister,3.8,12,fire twister,2015,fire twister2015
14993,14993,"[18, 80, 9648]",342165,en,Too Late,3.0260000000000002,2016-03-25,Too Late,7.3,33,too late,2016,too late2016
14994,14994,[18],286111,fr,Maintenant ou jamais,3.02,2015-01-08,Now or Never,6.1,48,now or never,2015,now or never2015
14996,14996,[27],384216,en,The Purging Hour,3.0060000000000002,2015-10-15,The Purging Hour,2.8,5,the purging hour,2015,the purging hour2015
14997,14997,"[35, 80, 14, 27, 53]",323792,en,L.A. Slasher,2.989,2015-06-12,L.A. Slasher,3.9,17,la slasher,2015,la slasher2015
14998,14998,"[53, 28, 27]",326834,en,The Demolisher,2.988,2015-02-22,The Demolisher,4.4,21,the demolisher,2015,the demolisher2015
14999,14999,[99],366929,en,One Soldier's Story: The Journey of American Sniper,2.983,2015-05-19,One Soldier's Story: The Journey of American Sniper,6.0,42,one soldiers story the journey of american sniper,2015,one soldiers story the journey of american sniper2015
15000,15000,[99],345323,en,Unity,2.9819999999999998,2015-08-12,Unity,7.8,14,unity,2015,unity2015
15001,15001,"[16, 10402]",333623,ja,ラブライブ！The School Idol Movie,2.9819999999999998,2015-09-11,Love Live! The School Idol Movie,7.5,13,love live the school idol movie,2015,love live the school idol movie2015
15002,15002,"[18, 878]",358644,en,Embers,2.9789999999999996,2015-10-16,Embers,5.5,35,embers,2015,embers2015
15003,15003,[35],361613,zh,港囧,2.978,2015-09-25,Lost in Hong Kong,6.3,26,lost in hong kong,2015,lost in hong kong2015
15004,15004,[27],332278,en,"Devil's Backbone, Texas",2.9539999999999997,2015-03-31,"Devil's Backbone, Texas",2.9,7,devils backbone texas,2015,devils backbone texas2015
15005,15005,[99],335327,en,Curious Worlds: The Art & Imagination of David Beck,2.952,2015-04-10,Curious Worlds: The Art & Imagination of David Beck,2.0,1,curious worlds the art  imagination of david beck,2015,curious worlds the art  imagination of david beck2015
15006,15006,"[35, 27]",363889,en,The Funhouse Massacre,2.943,2015-11-13,The Funhouse Massacre,5.4,56,the funhouse massacre,2015,the funhouse massacre2015
