,Unnamed: 0_x,tconst,primary_title,original_title,start_year,runtime_minutes,genres,Action,Crime,Drama,Biography,Comedy,Fantasy,Horror,Thriller,Adventure,Animation,Documentary,History,Mystery,Science Fiction,Romance,Family,War,Music,Sport,Western,Musical,Adult,News,Link,start_year_str,Unnamed: 0_y,Title,Studio,Domestic Gross,Foreign Gross,Year,Clean Title
1717,87040,tt5052474,Sicario: Day of the Soldado,Sicario: Day of the Soldado,2018,122.0,"Action,Crime,Drama",True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,sicario day of the soldado2018,2018,3155,Sicario: Day of the Soldado,Sony,50100000.0,25800000,2018,sicario day of the soldado
1718,87344,tt5071886,Kabali,Kabali,2016,153.0,"Action,Crime,Drama",True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,kabali2016,2016,2526,Kabali,CineGalaxy,3900000.0,,2016,kabali
1719,87402,tt5074352,Dangal,Dangal,2016,161.0,"Action,Biography,Drama",True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,dangal2016,2016,2351,Dangal,UTV,12400000.0,290500000,2016,dangal
1720,87587,tt5083738,The Favourite,The Favourite,2018,119.0,"Biography,Drama,History",False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,the favourite2018,2018,3139,The Favourite,FoxS,34400000.0,61600000,2018,the favourite
1721,87777,tt5095030,Ant-Man and the Wasp,Ant-Man and the Wasp,2018,118.0,"Action,Adventure,Comedy",True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,antman and the wasp2018,2018,3089,Ant-Man and the Wasp,BV,216600000.0,406000000,2018,antman and the wasp
1722,87823,tt5097070,Dancer,Dancer,2016,85.0,"Biography,Documentary",False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,dancer2016,2016,2666,Dancer,IFC,71900.0,,2016,dancer
1723,99011,tt5787344,Dancer,Dancer,2016,55.0,Action,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,dancer2016,2016,2666,Dancer,IFC,71900.0,,2016,dancer
1724,87923,tt5104604,Isle of Dogs,Isle of Dogs,2018,101.0,"Adventure,Animation,Comedy",False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,isle of dogs2018,2018,3165,Isle Of Dogs,FoxS,32000000.0,32200000,2018,isle of dogs
1725,88019,tt5109784,Mother!,Mother!,2017,121.0,"Drama,Horror,Mystery",False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,mother2017,2017,2865,mother!,Par.,17800000.0,26700000,2017,mother
1726,88191,tt5117670,Peter Rabbit,Peter Rabbit,2018,95.0,"Adventure,Animation,Comedy",False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,peter rabbit2018,2018,3106,Peter Rabbit,Sony,115300000.0,236000000,2018,peter rabbit
1727,88859,tt5140878,Annabelle: Creation,Annabelle: Creation,2017,109.0,"Horror,Mystery,Thriller",False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,annabelle creation2017,2017,2789,Annabelle: Creation,WB (NL),102100000.0,204400000,2017,annabelle creation
1728,89313,tt5162658,Gold,Oro,2017,103.0,"Adventure,Drama,History",False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,oro2017,2017,3074,Oro,Sony,5500.0,,2017,oro
1729,89341,tt5164432,"Love, Simon","Love, Simon",2018,110.0,"Comedy,Drama,Romance",False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,love simon2018,2018,3162,"Love, Simon",Fox,40800000.0,25500000,2018,love simon
1730,89355,tt5165344,Rustom,Rustom,2016,148.0,"Crime,Drama,Thriller",False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,rustom2016,2016,2556,Rustom,Zee,1100000.0,571000,2016,rustom
1731,89526,tt5175450,Mark Felt: The Man Who Brought Down the White House,Mark Felt: The Man Who Brought Down the White House,2017,103.0,"Biography,Drama,History",False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,mark felt the man who brought down the white house2017,2017,2938,Mark Felt: The Man Who Brought Down the White House,SPC,769000.0,3600000,2017,mark felt the man who brought down the white house
